col,sky,wavelength
1034,0.74,10944.797
1035,0.72,10943.377
1036,0.69,10941.958
1037,0.728,10940.538
1038,0.738,10939.119
1039,0.744,10937.699
1040,0.804,10936.279
1041,0.781,10934.859
1042,0.751,10933.44
1043,0.704,10932.02
1044,0.736,10930.6
1045,0.952,10929.18
1046,1.73,10927.761
1047,2.14,10926.34
1048,1.54,10924.921
1049,0.935,10923.501
1050,0.789,10922.081
1051,0.76,10920.661
1052,0.766,10919.241
1053,0.743,10917.821
1054,0.752,10916.401
1055,0.78,10914.981
1056,0.776,10913.561
1057,0.759,10912.141
1058,0.758,10910.721
1059,0.744,10909.3
1060,0.747,10907.88
1061,0.743,10906.46
1062,0.734,10905.04
1063,0.722,10903.62
1064,0.793,10902.2
1065,0.948,10900.779
1066,1.2,10899.359
1067,1.14,10897.939
1068,0.9,10896.519
1069,0.763,10895.098
1070,0.758,10893.678
1071,0.787,10892.257
1072,0.764,10890.837
1073,0.77,10889.416
1074,0.824,10887.996
1075,0.787,10886.576
1076,0.738,10885.155
1077,0.74,10883.735
1078,0.766,10882.314
1079,0.791,10880.894
1080,0.823,10879.473
1081,0.854,10878.053
1082,0.842,10876.632
1083,0.797,10875.212
1084,0.787,10873.791
1085,0.77,10872.37
1086,0.742,10870.95
1087,0.73,10869.529
1088,0.752,10868.108
1089,0.738,10866.687
1090,0.756,10865.266
1091,0.757,10863.846
1092,0.801,10862.425
1093,0.944,10861.004
1094,0.968,10859.583
1095,0.907,10858.163
1096,0.801,10856.742
1097,0.81,10855.32
1098,0.781,10853.899
1099,0.768,10852.479
1100,0.767,10851.058
1101,0.766,10849.637
1102,0.772,10848.216
1103,0.959,10846.795
1104,1.38,10845.374
1105,1.35,10843.952
1106,0.994,10842.531
1107,0.842,10841.11
1108,0.804,10839.689
1109,0.834,10838.268
1110,1.14,10836.847
1111,2.17,10835.426
1112,2.63,10834.004
1113,1.86,10832.583
1114,1.05,10831.162
1115,0.774,10829.741
1116,0.733,10828.319
1117,0.765,10826.898
1118,0.741,10825.477
1119,0.75,10824.056
1120,0.758,10822.634
1121,0.746,10821.213
1122,0.808,10819.791
1123,0.785,10818.37
1124,0.79,10816.948
1125,0.767,10815.527
1126,0.783,10814.106
1127,0.742,10812.684
1128,0.718,10811.262
1129,0.766,10809.841
1130,0.764,10808.419
1131,0.735,10806.997
1132,0.743,10805.576
1133,0.763,10804.154
1134,0.76,10802.733
1135,0.714,10801.311
1136,0.737,10799.889
1137,0.749,10798.467
1138,0.78,10797.046
1139,0.743,10795.624
1140,0.722,10794.202
1141,0.707,10792.78
1142,0.699,10791.358
1143,0.701,10789.936
1144,0.713,10788.515
1145,0.786,10787.093
1146,0.767,10785.671
1147,0.726,10784.249
1148,0.76,10782.827
1149,0.722,10781.405
1150,0.715,10779.983
1151,0.775,10778.561
1152,0.866,10777.139
1153,0.97,10775.717
1154,0.929,10774.295
1155,0.808,10772.873
1156,0.751,10771.45
1157,0.734,10770.029
1158,0.755,10768.606
1159,0.753,10767.184
1160,0.714,10765.762
1161,0.733,10764.34
1162,0.733,10762.917
1163,0.775,10761.495
1164,0.699,10760.073
1165,0.693,10758.651
1166,0.752,10757.228
1167,1.03,10755.806
1168,1.44,10754.383
1169,1.28,10752.961
1170,0.888,10751.538
1171,0.754,10750.116
1172,0.776,10748.694
1173,0.926,10747.271
1174,0.958,10745.849
1175,0.852,10744.426
1176,0.771,10743.003
1177,0.737,10741.581
1178,0.765,10740.159
1179,0.727,10738.736
1180,0.754,10737.313
1181,0.775,10735.89
1182,0.841,10734.468
1183,1.12,10733.045
1184,1.31,10731.622
