lk,ukf_a0v,uks_a0v , fh,fl, fc
4215,2.229093,0.06906,2.229093,0,0
4220,2.201925,0.057867,2.201925,0,0
4225,2.167549,0.047131,2.167549,0,0
4230,2.153373,0.036802,2.153373,0,0
4235,2.153649,0.036222,2.153649,0,0
4240,2.15001,0.062199,2.15001,0,0
4245,2.124971,0.058594,2.124971,0,0
4250,2.114018,0.068315,2.114018,0,0
4255,2.115392,0.06467,2.115392,0,0
4260,2.109489,0.055618,2.109489,0,0
4265,2.11013,0.04918,2.11013,0,0
4270,2.097033,0.058251,2.097033,0,0
4275,2.117196,0.063338,2.117196,0,0
4280,2.136546,0.10072,2.136546,0,0
4285,2.126377,0.121321,2.126377,0,0
4290,2.083192,0.124662,2.083192,0,0
4295,2.037815,0.094492,2.037815,0,0
4300,1.970364,0.074054,1.970364,0,0
4305,1.932392,0.061043,1.932392,0,0
4310,1.911035,0.074391,1.911035,0,0
4315,1.881848,0.108937,1.881848,0,0
4320,1.810205,0.138548,1.810205,0,0
4325,1.652199,0.155486,1.652199,0,0
4330,1.427604,0.143232,1.427604,0,0
4335,1.148925,0.143314,1.148925,0,0
4340,0.971719,0.132653,0.971719,0,0
4345,1.053994,0.03426,1.053994,0,0
4350,1.26957,0.033766,1.26957,0,0
4355,1.506908,0.04017,1.506908,0,0
4360,1.693613,0.003782,1.693613,0,0
